state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Nagaland,2021,Q1,23643,84510754,Tuensang,26.22330902203956,94.81577731419974,26.22330902203956,94.81577731419974,26.22330902203956,94.81577731419974
Nagaland,2021,Q1,18219,51849616,Zunheboto,26.02394854040189,94.51603962820879,26.02394854040189,94.51603962820879,26.02394854040189,94.51603962820879
Nagaland,2021,Q1,12322,33575965,Peren,25.64065613198769,93.66739415782293,25.64065613198769,93.66739415782293,25.64065613198769,93.66739415782293
Nagaland,2021,Q1,12009,34735822,Longleng,26.53403755734744,94.77433646996906,26.53403755734744,94.77433646996906,26.53403755734744,94.77433646996906
Nagaland,2021,Q2,585389,1726249195,Dimapur,25.84461434923106,93.74858738004168,25.84461434923106,93.74858738004168,25.84461434923106,93.74858738004168
Nagaland,2021,Q2,274137,694940464,Kohima,25.670125989494323,94.10533069960523,25.670125989494323,94.10533069960523,25.670125989494323,94.10533069960523
Nagaland,2021,Q2,63952,152031632,Mokokchung,26.497778069473505,94.53665824885195,26.497778069473505,94.53665824885195,26.497778069473505,94.53665824885195
Nagaland,2021,Q2,51055,137641682,Mon,26.78833961670785,95.01304530579971,26.78833961670785,95.01304530579971,26.78833961670785,95.01304530579971
Nagaland,2021,Q2,34223,82266645,Wokha,26.232701421147127,94.21283398117993,26.232701421147127,94.21283398117993,26.232701421147127,94.21283398117993
Nagaland,2021,Q2,31478,98158667,Phek,25.65493129043503,94.45423106623296,25.65493129043503,94.45423106623296,25.65493129043503,94.45423106623296
Nagaland,2021,Q2,27199,84823658,Tuensang,26.22330902203956,94.81577731419974,26.22330902203956,94.81577731419974,26.22330902203956,94.81577731419974
Nagaland,2021,Q2,21747,54703199,Zunheboto,26.02394854040189,94.51603962820879,26.02394854040189,94.51603962820879,26.02394854040189,94.51603962820879
Nagaland,2021,Q2,15860,42645682,Peren,25.64065613198769,93.66739415782293,25.64065613198769,93.66739415782293,25.64065613198769,93.66739415782293
Nagaland,2021,Q2,13528,39521626,Longleng,26.53403755734744,94.77433646996906,26.53403755734744,94.77433646996906,26.53403755734744,94.77433646996906
Nagaland,2021,Q3,727702,2201388248,Dimapur,25.84461434923106,93.74858738004168,25.84461434923106,93.74858738004168,25.84461434923106,93.74858738004168
