state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Mizoram,2023,Q1,100980,302696707,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2023,Q1,70712,203623312,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2023,Q1,60149,197355098,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2023,Q1,47296,123979875,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2023,Q1,33552,130442145,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2023,Q2,591532,1487286801,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2023,Q2,143000,370416278,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2023,Q2,118358,363557404,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2023,Q2,115550,294504301,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2023,Q2,78957,210372609,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2023,Q2,62301,181668968,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2023,Q2,59329,133368969,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2023,Q2,39903,150631245,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2023,Q3,685462,1543440692,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2023,Q3,141180,351803351,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2023,Q3,134018,295784977,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2023,Q3,113307,317228377,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2023,Q3,79763,178963303,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2023,Q3,58254,132491025,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2023,Q3,56753,156896799,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2023,Q3,41676,129521711,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2023,Q4,780542,1736939028,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2023,Q4,163967,404021869,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2023,Q4,155636,366968476,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2023,Q4,129497,341405743,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
